,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateQuery [permission only],Grants permission to create a VPC reachability query,Write,,,
1,GetQueryAnswer [permission only],Grants permission to get VPC reachability query answers,Read,,,
2,GetQueryExplanation [permission only],Grants permission to get VPC reachability query explanations,Read,,,
